"","sa3","name","earners","age","tot.income","med.income","av.income","sa3_1","State","Capital","origin","destination","dist_num","dist_txt","time_secs","time_mins","time_hours","time_txt","return_stat","status","error_message"
"254",40304,"Onkaparinga",88740,42,3876356867,39346,43682.1824092856,4,"SA","Adelaide","Onkaparinga, SA, Australia","Adelaide SA, Australia",39.04,"39.0 km",2526,42.1,0.7,"42 mins","OK","OK",""
"255",40401,"Charles Sturt",55450,42,2664437705,40333,48051.1759242561,4,"SA","Adelaide","Charles Sturt, SA, Australia","Adelaide SA, Australia",10,"10.0 km",1216,20.27,0.34,"20 mins","OK","OK",""
"256",40402,"Port Adelaide - West",28454,41,1298262243,40635,45626.7042595066,4,"SA","Adelaide","Port Adelaide SA 5015, Australia","Adelaide SA, Australia",14.09,"14.1 km",1674,27.9,0.47,"28 mins","OK","OK",""
"257",40403,"West Torrens",33100,40,1553544189,40056,46934.8697583082,4,"SA","Adelaide","West Torrens, SA, Australia","Adelaide SA, Australia",5.86,"5.9 km",781,13.02,0.22,"13 mins","OK","OK",""
"258",40501,"Barossa",18750,45,853297706,39390,45509.2109866667,4,"SA","Adelaide","Barossa Valley, Tanunda SA 5352, Australia","Adelaide SA, Australia",71.39,"71.4 km",3825,63.75,1.06,"1 hour 4 mins","OK","OK",""
"259",40502,"Lower North",11678,47,516276429,36309,44209.3191471142,4,"SA","Adelaide","North Adelaide SA 5006, Australia","Adelaide SA, Australia",2.83,"2.8 km",551,9.18,0.15,"9 mins","OK","OK",""
"260",40503,"Mid North",12935,46,597088362,37528,46160.6773869347,4,"SA","Adelaide","445 Kentish Rd, Uleybury SA 5114, Australia","Adelaide SA, Australia",37.83,"37.8 km",2792,46.53,0.78,"47 mins","OK","OK",""
"261",40504,"Yorke Peninsula",11723,49,511849758,33840,43662.0112599164,4,"SA","Adelaide","Yorke Peninsula, SA, Australia","Adelaide SA, Australia",188.06,"188 km",8146,135.77,2.26,"2 hours 16 mins","OK","OK",""
"262",40601,"Eyre Peninsula and South West",29555,43,1525669155,40927,51621.3552698359,4,"SA","Adelaide","Eyre Peninsula, Cummins SA 5631, Australia","Adelaide SA, Australia",632.97,"633 km",24598,409.97,6.83,"6 hours 50 mins","OK","OK",""
"263",40602,"Outback - North and East",12795,41,686581634,45372,53660.1511527941,4,"SA","Adelaide","1/3 George St, North Strathfield NSW 2137, Australia","Adelaide SA, Australia",1361.68,"1,362 km",51140,852.34,14.21,"14 hours 12 mins","OK","OK",""
"264",40701,"Fleurieu - Kangaroo Island",24346,50,919329560,30848,37761.0104329253,4,"SA","Adelaide","Fleurieu Peninsula, Inman Valley SA 5211, Australia","Adelaide SA, Australia",84.08,"84.1 km",4964,82.73,1.38,"1 hour 23 mins","OK","OK",""
"265",40702,"Limestone Coast",36183,44,1556350589,37138,43013.309814001,4,"SA","Adelaide","Limestone Coast, SA, Australia","Adelaide SA, Australia",306.08,"306 km",14157,235.95,3.93,"3 hours 56 mins","OK","OK",""
"266",40703,"Murray and Mallee",34996,45,1338046891,33345,38234.2808035204,4,"SA","Adelaide","96-104 Swanport Rd, Murray Bridge SA 5253, Australia","Adelaide SA, Australia",78.16,"78.2 km",3583,59.72,1,"1 hour 0 mins","OK","OK",""
"267",50101,"Augusta - Margaret River - Busselton",26088,43,1191137235,35109,45658.4343376265,5,"WA","Perth","Foreshore Parade, Busselton WA 6280, Australia","Perth WA, Australia",224,"224 km",8988,149.8,2.5,"2 hours 30 mins","OK","OK",""
"268",50102,"Bunbury",53402,42,2972117079,43822,55655.5387251414,5,"WA","Perth","Bunbury WA 6230, Australia","Perth WA, Australia",169.44,"169 km",6895,114.92,1.92,"1 hour 55 mins","OK","OK",""
"269",50103,"Manjimup",12522,47,537752870,33963,42944.6470212426,5,"WA","Perth","Manjimup WA 6258, Australia","Perth WA, Australia",293.38,"293 km",11876,197.93,3.3,"3 hours 18 mins","OK","OK",""
"270",50201,"Mandurah",43739,45,2349979134,39226,53727.3173597933,5,"WA","Perth","Mandurah WA, Australia","Perth WA, Australia",71.3,"71.3 km",3222,53.7,0.9,"54 mins","OK","OK",""
"271",50301,"Cottesloe - Claremont",40653,47,4478239555,54231,110157.664993973,5,"WA","Perth","Claremont WA 6010, Australia","Perth WA, Australia",9.4,"9.4 km",1031,17.18,0.29,"17 mins","OK","OK",""
