"","data.sa3_name","drive_time.origin","data.state","drive_time.time_mins","data.mean"
"86","Bringelly - Green Valley","Bringelly Pl, Bonnyrigg Heights NSW 2177, Australia","NSW",45.4,51310.1979
"87","Fairfield","Fairfield NSW 2165, Australia","NSW",44.23,46606.6794
"88","Liverpool","Liverpool NSW 2170, Australia","NSW",41.15,53858.9135
"89","Cronulla - Miranda - Caringbah","Miranda NSW 2228, Australia","NSW",38.28,69714.7366
"90","Sutherland - Menai - Heathcote","Heathcote Rd, New South Wales, Australia","NSW",42.83,64067.1667
"91","Ballarat","Ballarat VIC, Australia","Vic",86.88,51185.2171
"92","Creswick - Daylesford - Ballan","2349 Ballan-Daylesford Rd, Sailors Falls VIC 3461, Australia","Vic",77.27,47982.5841
"93","Maryborough - Pyrenees","Pyrenees Hwy, Maryborough VIC 3465, Australia","Vic",122.47,39875.5706
"94","Bendigo","Bendigo VIC 3550, Australia","Vic",111.1,49085.0933
"95","Heathcote - Castlemaine - Kyneton","","Vic",NA,49855.0643
"96","Loddon - Elmore","Tandarra-Elmore Rd, Victoria, Australia","Vic",141.38,40479.2725
"97","Barwon - West","Barwon, 229 Adderley St, West Melbourne VIC 3003, Australia","Vic",9.55,51621.534
"98","Geelong","Geelong VIC 3220, Australia","Vic",66.53,54575.3213
"99","Surf Coast - Bellarine Peninsula","Torquay VIC 3228, Australia","Vic",80.8,54252.8262
"100","Upper Goulburn Valley","Goulburn Valley Fwy, Mangalore VIC 3663, Australia","Vic",85.27,45921.5168
"101","Wangaratta - Benalla","Wangaratta VIC 3677, Australia","Vic",159.53,44916.0909
"102","Wodonga - Alpine","1 Koetong Cres, West Wodonga VIC 3690, Australia","Vic",197.82,47913.3983
"103","Baw Baw","Baw Baw, VIC, Australia","Vic",95.55,50078.2443
"104","Gippsland - East","East Gippsland, VIC, Australia","Vic",257.22,43339.3242
"105","Gippsland - South West","Gippsland, VIC, Australia","Vic",263.53,45862.3741
"106","Latrobe Valley","Traralgon VIC 3844, Australia","Vic",114.05,56163.247
"107","Wellington","Wellington, VIC, Australia","Vic",160.25,51397.2381
"108","Brunswick - Coburg","Brunswick St, Coburg VIC 3058, Australia","Vic",22.08,57910.7464
"109","Darebin - South","Darebin, VIC, Australia","Vic",34.03,65436.376
"110","Essendon","Essendon VIC 3040, Australia","Vic",22.43,70442.3034
"111","Melbourne City","Melbourne VIC 3004, Australia","Vic",0.02,75126.8516
"112","Port Phillip","Port Phillip, VIC, Australia","Vic",16.03,84041.7767
"113","Stonnington - West","Stonnington, VIC, Australia","Vic",23.77,109051.3275
"114","Yarra","Yarra, VIC, Australia","Vic",14.42,74503.0635
"115","Boroondara","Boroondara, VIC, Australia","Vic",27.1,92452.315
"116","Manningham - West","Manningham, VIC, Australia","Vic",33.3,60357.9151
"117","Whitehorse - West","Whitehorse, VIC, Australia","Vic",33.23,60612.3403
"118","Bayside","Bayside, VIC, Australia","Vic",32.92,94725.4033
"119","Glen Eira","Glen Eira, VIC, Australia","Vic",31.53,67725.0869
"120","Kingston","Kingston VIC 3364, Australia","Vic",91.75,59345.7938
"121","Stonnington - East","Stonnington, VIC, Australia","Vic",23.77,97477.2127
"122","Banyule","Banyule, VIC, Australia","Vic",32.03,62426.7937
"123","Darebin - North","Darebin, VIC, Australia","Vic",34.03,50435.3323
"124","Nillumbik - Kinglake","Kinglake VIC 3763, Australia","Vic",76.88,65246.673
"125","Whittlesea - Wallan","Wallan VIC 3756, Australia","Vic",55.7,50713.1914
"126","Keilor","Keilor VIC 3036, Australia","Vic",24.23,58540.114
"127","Macedon Ranges","Macedon Ranges, VIC, Australia","Vic",61.72,60834.4044
"128","Moreland - North","Moreland, VIC, Australia","Vic",24.55,50521.2566
"129","Sunbury","Sunbury VIC 3429, Australia","Vic",39.72,55956.8055
