"","origin","destination","dist_num","dist_txt","time_secs","time_mins","time_hours","time_txt","return_stat","status","error_message","input_url"
"1","Queanbeyan NSW 2620, Australia","Sydney NSW, Australia",289.71,"290 km",11027,183.78,3.06,"3 hours 4 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Queanbeyan%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"2","Snowy Mountains, Kosciuszko National Park NSW 2627, Australia","Sydney NSW, Australia",492.49,"492 km",19277,321.28,5.35,"5 hours 21 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Snowy%20Mountains%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"3","South Coast, NSW, Australia","Sydney NSW, Australia",484.43,"484 km",18897,314.95,5.25,"5 hours 15 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=South%20Coast%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"4","Goulburn NSW 2580, Australia","Sydney NSW, Australia",194.62,"195 km",7518,125.3,2.09,"2 hours 5 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Goulburn%20-%20Mulwaree%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"5","Yass St, Young NSW 2594, Australia","Sydney NSW, Australia",372.61,"373 km",14033,233.88,3.9,"3 hours 54 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Young%20-%20Yass%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"6","Gosford NSW 2250, Australia","Sydney NSW, Australia",75.79,"75.8 km",4000,66.67,1.11,"1 hour 7 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Gosford%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"7","Wyong NSW 2259, Australia","Sydney NSW, Australia",94.19,"94.2 km",4511,75.18,1.25,"1 hour 15 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Wyong%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"8","Bathurst NSW 2795, Australia","Sydney NSW, Australia",200.15,"200 km",10336,172.27,2.87,"2 hours 52 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Bathurst%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"9","Lachlan Valley Way, New South Wales, Australia","Sydney NSW, Australia",304.87,"305 km",11252,187.53,3.13,"3 hours 8 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Lachlan%20Valley%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"10","Mudgee St, South Bowenfels NSW 2790, Australia","Sydney NSW, Australia",135.75,"136 km",7570,126.17,2.1,"2 hours 6 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Lithgow%20-%20Mudgee%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"11","Orange NSW 2800, Australia","Sydney NSW, Australia",254.39,"254 km",12821,213.68,3.56,"3 hours 34 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Orange%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"12","Clarence Valley, NSW, Australia","Sydney NSW, Australia",656.46,"656 km",27392,456.53,7.61,"7 hours 37 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Clarence%20Valley%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"13","Coffs Harbour NSW 2450, Australia","Sydney NSW, Australia",525.17,"525 km",20448,340.8,5.68,"5 hours 41 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Coffs%20Harbour%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"14","","Sydney NSW, Australia",NA,NA,NA,NA,NA,NA,"NOT_FOUND","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Bourke%20-%20Cobar%20-%20Coonamble%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"15","Broken Hill NSW 2880, Australia","Sydney NSW, Australia",1143.71,"1,144 km",46398,773.3,12.89,"12 hours 53 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Broken%20Hill%20and%20Far%20West%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"16","Dubbo NSW 2830, Australia","Sydney NSW, Australia",387.89,"388 km",18079,301.32,5.02,"5 hours 1 min","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Dubbo%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"17","Hunter Region, NSW, Australia","Sydney NSW, Australia",242.65,"243 km",11797,196.62,3.28,"3 hours 17 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Lower%20Hunter%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"18","Maitland NSW 2320, Australia","Sydney NSW, Australia",165.44,"165 km",7106,118.43,1.97,"1 hour 58 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Maitland%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"19","Port Stephens, NSW, Australia","Sydney NSW, Australia",176.9,"177 km",7586,126.43,2.11,"2 hours 6 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Port%20Stephens%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"20","Upper Hunter, NSW, Australia","Sydney NSW, Australia",297.59,"298 km",12920,215.33,3.59,"3 hours 35 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Upper%20Hunter%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"21","New Dapto Rd, Wollongong NSW 2500, Australia","Sydney NSW, Australia",93.7,"93.7 km",4967,82.78,1.38,"1 hour 23 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Dapto%20-%20Port%20Kembla%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"22","Kiama NSW 2533, Australia","Sydney NSW, Australia",131.34,"131 km",6494,108.23,1.8,"1 hour 48 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Kiama%20-%20Shellharbour%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"23","Wollongong NSW 2500, Australia","Sydney NSW, Australia",95.23,"95.2 km",5112,85.2,1.42,"1 hour 25 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Wollongong%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"24","Great Lakes, NSW, Australia","Sydney NSW, Australia",244.74,"245 km",10193,169.88,2.83,"2 hours 50 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Great%20Lakes%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"25","Nambucca Dr, Scotts Head NSW 2447, Australia","Sydney NSW, Australia",473.14,"473 km",18746,312.43,5.21,"5 hours 12 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Kempsey%20-%20Nambucca%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"26","Lord Howe Island, New South Wales, Australia","Sydney NSW, Australia",NA,NA,NA,NA,NA,NA,"ZERO_RESULTS","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Lord%20Howe%20Island%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"27","Port Macquarie NSW 2444, Australia","Sydney NSW, Australia",384.14,"384 km",14995,249.92,4.17,"4 hours 10 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Port%20Macquarie%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"28","Gloucester Rd, New South Wales 2429, Australia","Sydney NSW, Australia",322.66,"323 km",13120,218.67,3.64,"3 hours 39 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Taree%20-%20Gloucester%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"29","Albury NSW 2640, Australia","Sydney NSW, Australia",553.4,"553 km",19862,331.03,5.52,"5 hours 31 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Albury%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"30","Murray, NSW, Australia","Sydney NSW, Australia",772.9,"773 km",29581,493.02,8.22,"8 hours 13 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Lower%20Murray%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"31","681 Young St, Albury NSW 2640, Australia","Sydney NSW, Australia",552.24,"552 km",19718,328.63,5.48,"5 hours 29 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Upper%20Murray%20exc.%20Albury%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"32","Armidale NSW 2350, Australia","Sydney NSW, Australia",475.58,"476 km",20562,342.7,5.71,"5 hours 43 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Armidale%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"33","Bonshaw NSW 2361, Australia","Sydney NSW, Australia",686.25,"686 km",29600,493.33,8.22,"8 hours 13 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Inverell%20-%20Tenterfield%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"34","Narrabri NSW 2390, Australia","Sydney NSW, Australia",524.82,"525 km",21725,362.08,6.03,"6 hours 2 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Moree%20-%20Narrabri%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"35","Gunnedah Rd, New South Wales 2340, Australia","Sydney NSW, Australia",408.84,"409 km",17156,285.93,4.77,"4 hours 46 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Tamworth%20-%20Gunnedah%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"36","Lake Macquarie NSW 2283, Australia","Sydney NSW, Australia",133.96,"134 km",6309,105.15,1.75,"1 hour 45 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Lake%20Macquarie%20-%20East%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"37","Lake Macquarie NSW 2283, Australia","Sydney NSW, Australia",133.96,"134 km",6309,105.15,1.75,"1 hour 45 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Lake%20Macquarie%20-%20West%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"38","Newcastle NSW, Australia","Sydney NSW, Australia",160.84,"161 km",7695,128.25,2.14,"2 hours 8 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Newcastle%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"39","North St, Casino NSW 2470, Australia","Sydney NSW, Australia",710.77,"711 km",28260,471,7.85,"7 hours 51 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Richmond%20Valley%20-%20Coastal%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"40","Queensland Rd, Casino NSW 2470, Australia","Sydney NSW, Australia",712.43,"712 km",28394,473.23,7.89,"7 hours 53 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Richmond%20Valley%20-%20Hinterland%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"41","Tweed Valley Way, New South Wales, Australia","Sydney NSW, Australia",788.95,"789 km",31643,527.38,8.79,"8 hours 47 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Tweed%20Valley%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"42","Murrumbidgee Ave, Griffith NSW 2680, Australia","Sydney NSW, Australia",574.34,"574 km",22099,368.32,6.14,"6 hours 8 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Griffith%20-%20Murrumbidgee%20%28West%29%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"43","Tumut River, New South Wales, Australia","Sydney NSW, Australia",429.63,"430 km",16207,270.12,4.5,"4 hours 30 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Tumut%20-%20Tumbarumba%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"44","Wagga Wagga NSW 2650, Australia","Sydney NSW, Australia",461.31,"461 km",17112,285.2,4.75,"4 hours 45 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Wagga%20Wagga%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"45","Shoalhaven, NSW, Australia","Sydney NSW, Australia",199.9,"200 km",9721,162.02,2.7,"2 hours 42 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Shoalhaven%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"46","Southern Highlands, NSW, Australia","Sydney NSW, Australia",133.82,"134 km",5385,89.75,1.5,"1 hour 30 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Southern%20Highlands%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"47","Baulkham Hills NSW 2153, Australia","Sydney NSW, Australia",29.98,"30.0 km",1683,28.05,0.47,"28 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Baulkham%20Hills%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"48","Pitt Town Dural Rd, New South Wales, Australia","Sydney NSW, Australia",58.14,"58.1 km",3370,56.17,0.94,"56 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Dural%20-%20Wisemans%20Ferry%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"49","Hawkesbury, NSW, Australia","Sydney NSW, Australia",139.89,"140 km",9463,157.72,2.63,"2 hours 38 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Hawkesbury%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"50","Windsor Rd & White Hart Dr, Rouse Hill NSW 2155, Australia","Sydney NSW, Australia",42.11,"42.1 km",2321,38.68,0.64,"39 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Rouse%20Hill%20-%20McGraths%20Hill%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"51","Blacktown NSW 2148, Australia","Sydney NSW, Australia",38.99,"39.0 km",2391,39.85,0.66,"40 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Blacktown%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"52","1 Bessemer St, Blacktown NSW 2148, Australia","Sydney NSW, Australia",40.41,"40.4 km",2149,35.82,0.6,"36 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Blacktown%20-%20North%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"53","Mount Druitt NSW 2770, Australia","Sydney NSW, Australia",42.06,"42.1 km",2744,45.73,0.76,"46 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Mount%20Druitt%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"54","Botany NSW 2019, Australia","Sydney NSW, Australia",12.23,"12.2 km",1181,19.68,0.33,"20 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Botany%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"55","Sydenham Rd, Marrickville NSW 2204, Australia","Sydney NSW, Australia",9.63,"9.6 km",1239,20.65,0.34,"21 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Marrickville%20-%20Sydenham%20-%20Petersham%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"56","151 Glebe Point Rd, Glebe NSW 2037, Australia","Sydney NSW, Australia",3.39,"3.4 km",562,9.37,0.16,"9 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Sydney%20Inner%20City%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"57","North Bondi NSW 2026, Australia","Sydney NSW, Australia",10.2,"10.2 km",1413,23.55,0.39,"24 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Eastern%20Suburbs%20-%20North%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"58","Eastern Suburbs Railway, New South Wales, Australia","Sydney NSW, Australia",2.28,"2.3 km",523,8.72,0.15,"9 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Eastern%20Suburbs%20-%20South%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"59","Bankstown NSW 2200, Australia","Sydney NSW, Australia",29.28,"29.3 km",2029,33.82,0.56,"34 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Bankstown%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"60","Canterbury NSW 2193, Australia","Sydney NSW, Australia",12.16,"12.2 km",1380,23,0.38,"23 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Canterbury%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"61","Hurstville NSW 2220, Australia","Sydney NSW, Australia",26.15,"26.2 km",1944,32.4,0.54,"32 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Hurstville%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"62","Kogarah NSW 2217, Australia","Sydney NSW, Australia",18.16,"18.2 km",1452,24.2,0.4,"24 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Kogarah%20-%20Rockdale%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"63","Canada Bay NSW 2046, Australia","Sydney NSW, Australia",10.67,"10.7 km",1168,19.47,0.32,"19 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Canada%20Bay%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"64","Leichhardt NSW 2040, Australia","Sydney NSW, Australia",6.68,"6.7 km",764,12.73,0.21,"13 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Leichhardt%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"65","Strathfield NSW 2135, Australia","Sydney NSW, Australia",14.58,"14.6 km",1651,27.52,0.46,"28 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Strathfield%20-%20Burwood%20-%20Ashfield%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"66","Chatswood NSW 2067, Australia","Sydney NSW, Australia",10.65,"10.6 km",892,14.87,0.25,"15 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Chatswood%20-%20Lane%20Cove%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"67","Hornsby NSW 2077, Australia","Sydney NSW, Australia",26.87,"26.9 km",2061,34.35,0.57,"34 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Hornsby%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"68","Ku-Ring-Gai, NSW, Australia","Sydney NSW, Australia",20.45,"20.4 km",1305,21.75,0.36,"22 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Ku-ring-gai%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"69","Mosman NSW 2088, Australia","Sydney NSW, Australia",7.84,"7.8 km",947,15.78,0.26,"16 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=North%20Sydney%20-%20Mosman%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"70","Manly NSW 2095, Australia","Sydney NSW, Australia",16.09,"16.1 km",1994,33.23,0.55,"33 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Manly%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"71","Pittwater, NSW, Australia","Sydney NSW, Australia",46.54,"46.5 km",3916,65.27,1.09,"1 hour 5 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Pittwater%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"72","Warringah, NSW, Australia","Sydney NSW, Australia",35.59,"35.6 km",2741,45.68,0.76,"46 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Warringah%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"73","Camden NSW 2570, Australia","Sydney NSW, Australia",69.3,"69.3 km",3567,59.45,0.99,"59 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Camden%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"74","Campbelltown NSW 2560, Australia","Sydney NSW, Australia",58.34,"58.3 km",3130,52.17,0.87,"52 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Campbelltown%20%28NSW%29%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"75","Wollondilly, NSW, Australia","Sydney NSW, Australia",92.87,"92.9 km",5138,85.63,1.43,"1 hour 26 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Wollondilly%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"76","Blue Mountains, New South Wales, Australia","Sydney NSW, Australia",62.25,"62.3 km",3522,58.7,0.98,"59 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Blue%20Mountains%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"77","Penrith NSW 2750, Australia","Sydney NSW, Australia",54.28,"54.3 km",3385,56.42,0.94,"56 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Penrith%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"78","Hawkesbury, NSW, Australia","Sydney NSW, Australia",139.89,"140 km",9463,157.72,2.63,"2 hours 38 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Richmond%20-%20Windsor%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"79","St Marys NSW 2760, Australia","Sydney NSW, Australia",55.43,"55.4 km",3088,51.47,0.86,"51 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=St%20Marys%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"80","Auburn NSW 2144, Australia","Sydney NSW, Australia",22.74,"22.7 km",2174,36.23,0.6,"36 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Auburn%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
"81","Carlingford NSW 2118, Australia","Sydney NSW, Australia",26.66,"26.7 km",1616,26.93,0.45,"27 mins","OK","OK","","https://maps.googleapis.com/maps/api/distancematrix/json?origins=Carlingford%2c%20NSW%2c%20Australia&destinations=Sydney%2c%20NSW%2c%20Australia&units=metric&mode=driving&language=en-EN&key="
