"","sa3","name","earners","age","tot.income","med.income","av.income","sa3_1","State","Capital","origin","destination","dist_num","dist_txt","time_secs","time_mins","time_hours","time_txt","return_stat","status","error_message"
"139",21204,"Dandenong",83967,39,3342747408,35691,39810.2517417557,2,"Vic","Melbourne","Dandenong VIC 3175, Australia","Melbourne VIC, Australia",36.37,"36.4 km",2285,38.08,0.63,"38 mins","OK","OK",""
"140",21205,"Monash",93241,43,4630482804,38253,49661.4451153463,2,"Vic","Melbourne","Monash, VIC, Australia","Melbourne VIC, Australia",24.18,"24.2 km",1803,30.05,0.5,"30 mins","OK","OK",""
"141",21301,"Brimbank",85582,38,3593881724,38038,41993.4299735926,2,"Vic","Melbourne","Brimbank, VIC, Australia","Melbourne VIC, Australia",24.12,"24.1 km",1767,29.45,0.49,"29 mins","OK","OK",""
"142",21302,"Hobsons Bay",43557,41,2400449797,45187,55110.5401428014,2,"Vic","Melbourne","Hobsons Bay, VIC, Australia","Melbourne VIC, Australia",15.04,"15.0 km",1442,24.03,0.4,"24 mins","OK","OK",""
"143",21303,"Maribyrnong",38673,36,1939891742,42387,50161.3979262017,2,"Vic","Melbourne","Maribyrnong VIC 3032, Australia","Melbourne VIC, Australia",10.94,"10.9 km",1454,24.23,0.4,"24 mins","OK","OK",""
"144",21304,"Melton - Bacchus Marsh",64588,38,3087741225,43374,47806.7322877315,2,"Vic","Melbourne","Bacchus Marsh VIC 3340, Australia","Melbourne VIC, Australia",58.42,"58.4 km",3036,50.6,0.84,"51 mins","OK","OK",""
"145",21305,"Wyndham",88170,37,4334288647,44205,49158.3151525462,2,"Vic","Melbourne","Wyndham, VIC, Australia","Melbourne VIC, Australia",36.01,"36.0 km",2261,37.68,0.63,"38 mins","OK","OK",""
"146",21401,"Frankston",68823,41,3153072276,40235,45814.2230940238,2,"Vic","Melbourne","Frankston VIC 3199, Australia","Melbourne VIC, Australia",57.18,"57.2 km",2981,49.68,0.83,"50 mins","OK","OK",""
"147",21402,"Mornington Peninsula",80820,46,3968932132,36827,49108.2916604801,2,"Vic","Melbourne","Mornington Peninsula, VIC, Australia","Melbourne VIC, Australia",73.81,"73.8 km",3906,65.1,1.09,"1 hour 5 mins","OK","OK",""
"148",21501,"Grampians",32615,47,1392972429,35972,42709.5639736318,2,"Vic","Melbourne","Grampians VIC 3314, Australia","Melbourne VIC, Australia",291.22,"291 km",13279,221.32,3.69,"3 hours 41 mins","OK","OK",""
"149",21502,"Mildura",24461,43,969454484,34474,39632.659498794,2,"Vic","Melbourne","Mildura VIC 3500, Australia","Melbourne VIC, Australia",541.99,"542 km",21282,354.7,5.91,"5 hours 55 mins","OK","OK",""
